EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Diet	Sex	Status	AgeAtDeath	DateOfBirth	DateDietStart	DateOfDeath	AgeAtSetUp	Weight00 Baseline	DateWeightBaseline	Weight01	AgeAtWeight01	Weight02	AgeAtWeight02	Weight03	AgeAtWeight03	Weight04	AgeAtWeight04	Weight05	AgeAtWeight05	Weight06	AgeAtWeight06	Weight07	AgeAtWeight07	Weight08	AgeAtWeight08	Weight09	AgeAtWeight09	Weight10	AgeAtWeight10	Weight11	AgeAtWeight11	Weight12	AgeAtWeight12	Weight13	AgeAtWeight13	Weight14	AgeAtWeight14	Weight15	AgeAtWeight15	Weight16	AgeAtWeight16	Weight17	AgeAtWeight17	Weight18	AgeAtWeight18	Weight19	AgeAtWeight19	Weight20	AgeAtWeight20		DateWeight01	DateWeight02	DateWeight03	DateWeight04	DateWeight05	DateWeight06	DateWeight07	DateWeight08	DateWeight09	DateWeight10	DateWeight11	DateWeight12	DateWeight13	DateWeight14	DateWeight15	DateWeight16	DateWeight17	DateWeight18	DateWeight19	DateWeight20	DaysOnDietAtWeight01	DaysOnDietAtWeight02	DaysOnDietAtWeight03	DaysOnDietAtWeight04	DaysOnDietAtWeight05	DaysOnDietAtWeight06	DaysOnDietAtWeight07	DaysOnDietAtWeight08	DaysOnDietAtWeight09	DaysOnDietAtWeight10	DaysOnDietAtWeight11	DaysOnDietAtWeight12	DaysOnDietAtWeight13	DaysOnDietAtWeight14	DaysOnDietAtWeight15	DaysOnDietAtWeight16	DaysOnDietAtWeight17	DaysOnDietAtWeight18	DaysOnDietAtWeight19	DaysOnDietAtWeight20
2560	2560	BXD19	CD	F	Euthanized	842	01/10/2016	02/12/2016	05/01/2018	33	13.9		15.2	38	21.5	115	23.5	171	24.4	242	25.7	317	25.3	381	26.2	431	24.3	492	24.1	570	22.8	647	24.8	709	23.6	773	27.7	838																02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	12/19/2017	02/21/2018	04/27/2018								5	82	138	209	284	348	398	459	537	614	676	740	805							
2566	2566	BXD6	CD	F	Natural	705	01/10/2016	02/12/2016	12/15/2017	33	11.1		12.5	38	20.7	115	21.7	171	22.8	243	25.4	317	24.6	381	25.5	431	25.9	492	26.5	570	23.7	647																						02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017											5	82	138	210	284	348	398	459	537	614										
2562	2562	BXD19	CD	F	Natural	600	01/10/2016	02/12/2016	09/01/2017	33	13.8		14.8	38	23	115	23.4	171	24.2	242	26.8	317	27.4	381	27.3	431	26.6	492	26.6	570																								02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017												5	82	138	209	284	348	398	459	537											
2563	2563	BXD19	CD	F	Euthanized	503	01/10/2016	02/12/2016	05/27/2017	33	12.4		13.9	38	21.4	115	23.3	171	24.3	242	26.3	317	26	381	27.9	431	27.8	492																										02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017													5	82	138	209	284	348	398	459												
2561	2561	BXD19	CD	F	Natural	609	01/10/2016	02/12/2016	09/10/2017	33	14.8		17	38	23.3	115	31.4	242	29.8	317	30.3	381	28.7	431	31.1	492	27.9	570																										02/17/2016	05/04/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017													5	82	209	284	348	398	459	537												
2565	2565	BXD6	CD	F	Euthanized	318	01/10/2016	02/12/2016	11/23/2016	33	9.4		12.1	38	22.6	115	22.5	171	25	243	35.4	317																																02/17/2016	05/04/2016	06/29/2016	09/09/2016	11/22/2016																5	82	138	210	284															
2544	2544	BXD73	CD	F	Natural	825	01/09/2016	02/05/2016	04/13/2018	27	12.2		16	39	23	116	25.2	172	25.8	243	26.9	318	24.8	382	18.9	432	23.9	493	23.2	571	15.2	648	16.5	774																				02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017	10/18/2017	02/21/2018										12	89	145	216	291	355	405	466	544	621	747									
2543	2543	BXD73	CD	F	Euthanized	573	01/09/2016	02/05/2016	08/04/2017	27	12.4		17.8	39	23.4	116	26.1	172	27.5	243	28.5	318	29.5	382	27.8	432	29.3	493	25.7	571																								02/17/2016	05/04/2016	06/29/2016	09/08/2016	11/22/2016	01/25/2017	03/16/2017	05/16/2017	08/02/2017												12	89	145	216	291	355	405	466	544											
1399	1399	BXD77	CD	F	Natural	1018	01/26/2014	02/28/2014	11/09/2016	33	10.8	02/28/2014	13.5	44	20.1	108	20.9	179	22.3	226	23.2	288	24.8	353	24.8	409	23.9	472	25.6	534	22.5	618	22.8	683	21.9	752	21.7	829	18.3	885	18.7	956												03/11/2014	05/14/2014	07/24/2014	09/09/2014	11/10/2014	01/14/2015	03/11/2015	05/13/2015	07/14/2015	10/06/2015	12/10/2015	02/17/2016	05/04/2016	06/29/2016	09/08/2016						11	75	146	193	255	320	376	439	501	585	650	719	796	852	923					
1397	1397	BXD77	CD	F	Harvest	460	01/26/2014	02/28/2014	05/01/2015	33	11.5	02/28/2014	15.6	44	22.3	108	25.9	179	25.8	226	26.9	288	31.4	353	31.3	409																												03/11/2014	05/14/2014	07/24/2014	09/09/2014	11/10/2014	01/14/2015	03/11/2015														11	75	146	193	255	320	376													
