Index	EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Sex	Diet	Status	AgeAtDeath (days)	DateOfBirth	DateDietStart	DateOfDeath	AgeAtSetUp in colony (days)
1	4984	4984	BXD21	F	CD	Natural	622	05/19/2023	06/30/2023	01/30/2025	42
2	4989	4989	BXD11	F	CD	Natural	915	07/16/2022	06/30/2023	01/16/2025	349
3	5847	5847	BXD113	F	CD	Natural	525	08/09/2023	09/14/2023	01/15/2025	36
4	5842	5842	BXD168	F	CD	Euthanized	533	07/26/2023	09/14/2023	01/09/2025	50
5	4895	4895	B6D2F1	F	CD	Euthanized	996	04/18/2022	06/23/2022	01/08/2025	66
6	4985	4985	BXD21	F	CD	Euthanized	600	05/19/2023	06/30/2023	01/08/2025	42
7	4982	4982	BXD21	F	CD	Natural	594	05/19/2023	06/30/2023	01/02/2025	42
8	5091	5091	C57BL/6J	F	CD	Natural	832	09/06/2022	06/08/2023	12/16/2024	275
9	5627	5627	BXD100	F	CD	Euthanized	432	10/08/2023	02/02/2024	12/13/2024	117
10	5040	5040	DBA/2J	F	CD	Euthanized	1071	01/07/2022	12/21/2022	12/13/2024	348
11	5626	5626	BXD100	F	CD	Natural	432	10/08/2023	02/02/2024	12/13/2024	117
12	5899	5899	BXD45	F	CD	Euthanized	475	08/17/2023	10/11/2023	12/04/2024	55
13	5698	5698	BXD8	F	CD	Euthanized	667	02/06/2023	05/17/2024	12/04/2024	466
14	5954	5954	DBA/2J	F	CD	Natural	546	05/30/2023	10/17/2023	11/26/2024	140
15	4947	4947	C57BL/6J	F	CD	Euthanized	893	06/10/2022	01/23/2023	11/19/2024	227
16	5796	5796	C57BL/6J	F	CD	Euthanized	571	04/17/2023	08/11/2023	11/08/2024	116
17	5587	5587	BXD38	F	CD	Euthanized	488	06/18/2023	07/25/2023	10/18/2024	37
18	4907	4907	B6D2F1	F	CD	Euthanized	887	05/14/2022	06/23/2022	10/17/2024	40
19	5856	5856	BXD139	F	CD	Euthanized	438	08/06/2023	09/15/2023	10/17/2024	40
20	5073	5073	BXD197	F	CD	Euthanized	616	02/09/2023	06/30/2023	10/17/2024	141
