EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Diet	Sex	Status	AgeAtDeath	DateOfBirth	DateDietStart	DateOfDeath	AgeAtSetUp	Weight00 Baseline	DateWeightBaseline	Weight01	Weight02	Weight03	Weight04	Weight05	Weight06	Weight07	Weight08	Weight09	Weight10	Weight11	Weight12	Weight13	Weight14	Weight15	Weight16	Weight17	Weight18	Weight19	Weight20	AgeAtWeight01	AgeAtWeight02	AgeAtWeight03	AgeAtWeight04	AgeAtWeight05	AgeAtWeight06	AgeAtWeight07	AgeAtWeight08	AgeAtWeight09	AgeAtWeight10	AgeAtWeight11	AgeAtWeight12	AgeAtWeight13	AgeAtWeight14	AgeAtWeight15	AgeAtWeight16	AgeAtWeight17	AgeAtWeight18	AgeAtWeight19	AgeAtWeight20	DateWeight01	DateWeight02	DateWeight03	DateWeight04	DateWeight05	DateWeight06	DateWeight07	DateWeight08	DateWeight09	DateWeight10	DateWeight11	DateWeight12	DateWeight13	DateWeight14	DateWeight15	DateWeight16	DateWeight17	DateWeight18	DateWeight19	DateWeight20	DaysOnDietAtWeight01	DaysOnDietAtWeight02	DaysOnDietAtWeight03	DaysOnDietAtWeight04	DaysOnDietAtWeight05	DaysOnDietAtWeight06	DaysOnDietAtWeight07	DaysOnDietAtWeight08	DaysOnDietAtWeight09	DaysOnDietAtWeight10	DaysOnDietAtWeight11	DaysOnDietAtWeight12	DaysOnDietAtWeight13	DaysOnDietAtWeight14	DaysOnDietAtWeight15	DaysOnDietAtWeight16	DaysOnDietAtWeight17	DaysOnDietAtWeight18	DaysOnDietAtWeight19	DaysOnDietAtWeight20
2877	2877	DBA/2J	NAM	F	Natural	718	10/25/2018	03/25/2019	10/12/2020	151	21.5	03/25/2019	18.6	23.6	23.8	24.5	26.9	33	32.4	38.8	38	41.1	44.1	44.3	43.1	43.4							158	165	172	179	193	223	260	298	330	365	398	459	503	594							04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	06/10/2020							7	14	21	28	42	72	109	147	179	214	247	308	352	443						
2878	2878	DBA/2J	NAM	F	Natural	232	10/25/2018	03/25/2019	06/14/2019	151	22.9	03/25/2019	18.9	21	21.9	25	23.9	22.5															158	165	172	179	193	223															04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019															7	14	21	28	42	72														
2879	2879	DBA/2J	NAM	F	Euthanized	309	10/25/2018	03/25/2019	08/30/2019	151	18.6	03/25/2019	14.3	18.6	20.2	19.2	20	22.6	23.2	24.8													158	165	172	179	193	223	260	298													04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019													7	14	21	28	42	72	109	147												
2880	2880	DBA/2J	NAM	F	Natural	770	10/25/2018	03/25/2019	12/03/2020	151	24.4	03/25/2019	23.6	24.9	26.3	30.8	32.9	40.3	43.7	49.9	51.8	55.7	56.8	58.7	57.2	52.2	47.5	42.6	36.8				158	165	172	179	193	223	260	298	330	365	398	459	503	554	594	657	726				04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020	10/20/2020				7	14	21	28	42	72	109	147	179	214	247	308	352	403	443	506	575			
2881	2881	DBA/2J	NAM	F	Natural	232	10/25/2018	03/25/2019	06/14/2019	151	20.5	03/25/2019	21	22.2	21.9	22.6	24.9	31.3															158	165	172	179	193	223															04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019															7	14	21	28	42	72														
2882	2882	BXD32	NAM	F	Euthanized	614	09/23/2018	03/25/2019	05/29/2020	183	22	03/25/2019	20.7	24.8	26.4	25.5	25.1	25.6	27.4	29.1	31.7	32.7	35.8	36.2	35.2	33.2							190	197	204	211	225	255	292	330	362	397	430	491	535	586							04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020							7	14	21	28	42	72	109	147	179	214	247	308	352	403						
2883	2883	BXD32	NAM	F	Euthanized	681	09/23/2018	03/25/2019	08/04/2020	183	22.1	03/25/2019	18.9	22.1	22.6	23.1	23.8	27	31.2	33.6	34.4	36.3	37.5	38.8	37.4	34.1	32.4						190	197	204	211	225	255	292	330	362	397	430	491	535	586	626						04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020						7	14	21	28	42	72	109	147	179	214	247	308	352	403	443					
2884	2884	BXD32	NAM	F	Euthanized	738	09/23/2018	03/25/2019	09/30/2020	183	22.6	03/25/2019	15.3	20.7	23	23.3	23	25.3	31.1	34.9	37.8	39.1	41.5	43.4	45.2	40.3	39.8	33.1					190	197	204	211	225	255	292	330	362	397	430	491	535	586	626	689					04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	01/27/2020	03/11/2020	05/01/2020	06/10/2020	08/12/2020					7	14	21	28	42	72	109	147	179	214	247	308	352	403	443	506				
2885	2885	BXD40	NAM	F	Natural	490	09/20/2018	03/25/2019	01/23/2020	186	30.2	03/25/2019	22.2	18	17.7	18.4	27.5	34.8	39	40.2	40.8	43.3	42.6										193	200	207	214	228	258	295	333	365	400	433										04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019										7	14	21	28	42	72	109	147	179	214	247									
2886	2886	BXD40	NAM	F	Euthanized	455	09/20/2018	03/25/2019	12/19/2019	186	26.8	03/25/2019	19.8	17.2	19.1	20.1	23.5	30.2	33.9	35.1	35.5	37	39	40.5									193	200	207	214	228	258	295	333	365	400	433	455									04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019	12/19/2019									7	14	21	28	42	72	109	147	179	214	247	269								
2887	2887	BXD40	NAM	F	Natural	389	09/20/2018	03/25/2019	10/14/2019	186	25.7	03/25/2019	21.2	25.3	25.6	25.9	24.3	29.1	34.9	37.2	38.1	44.2	36.6										193	200	207	214	228	258	295	333	365	589	692										04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	05/01/2020	08/12/2020										7	14	21	28	42	72	109	147	179	403	506									
2888	2888	BXD40	NAM	F	Euthanized	433	09/20/2018	03/25/2019	11/27/2019	186	28	03/25/2019	20.3	16.9	15.2	16.3	25.1	31.9	36.9	38.2	38.5	40	25.8										193	200	207	214	228	258	295	333	365	400	433										04/01/2019	04/08/2019	04/15/2019	04/22/2019	05/06/2019	06/05/2019	07/12/2019	08/19/2019	09/20/2019	10/25/2019	11/27/2019										7	14	21	28	42	72	109	147	179	214	247									
