Index	EarTagNumberCurrent	EarTagNumberOriginal	StrainName	Diet	Sex	AgeAtDeath (days)	Status	DateOfBirth	DateDietStart	DateOfDeath	Age at start of NAM diet (days)
1	5031	5031	DBA/2J	NAM	F	591	Euthanized	08/09/2022	02/13/2023	03/22/2024	188
2	5032	5032	DBA/2J	NAM	F	591	Euthanized	08/09/2022	02/13/2023	03/22/2024	188
3	5024	5024	C57BL/6J	NAM	F	586	Euthanized	08/14/2022	02/13/2023	03/22/2024	183
4	4848	4848	BXD15	NAM	F	798	Euthanized	01/06/2022	07/18/2022	03/14/2024	193
5	5028	5028	C57BL/6J	NAM	F	604	Euthanized	07/11/2022	01/11/2023	03/06/2024	184
6	5030	5030	DBA/2J	NAM	F	591	Euthanized	07/12/2022	01/11/2023	02/23/2024	183
7	5029	5029	DBA/2J	NAM	F	589	Euthanized	07/12/2022	01/11/2023	02/21/2024	183
8	4593	4593	DBA/2J	NAM	F	771	Euthanized	12/23/2021	07/07/2022	02/02/2024	196
9	5025	5025	BXD62	NAM	F	579	Euthanized	07/03/2022	01/05/2023	02/02/2024	186
10	5033	5033	DBA/2J	NAM	F	518	Natural	08/09/2022	02/13/2023	01/09/2024	188
11	4591	4591	BXD32	NAM	F	709	Natural	01/01/2022	07/07/2022	12/11/2023	187
12	4588	4588	BXD32	NAM	F	730	Euthanized	12/11/2021	07/18/2022	12/11/2023	219
13	5011	5011	BXD32	NAM	F	644	Euthanized	03/07/2022	09/14/2022	12/11/2023	191
14	5010	5010	BXD32	NAM	F	637	Natural	03/07/2022	09/14/2022	12/04/2023	191
15	5026	5026	BXD62	NAM	F	483	Natural	07/03/2022	01/05/2023	10/29/2023	186
16	4546	4546	BXD62	NAM	F	740	Euthanized	10/08/2021	04/14/2022	10/18/2023	188
17	3682	3682	BXD29	NAM	F	828	Euthanized	07/11/2021	01/10/2022	10/17/2023	183
18	4594	4594	DBA/2J	NAM	F	656	Euthanized	12/23/2021	07/07/2022	10/10/2023	196
19	3672	3672	BXD87	NAM	F	797	Euthanized	07/22/2021	01/24/2022	09/27/2023	186
20	4585	4585	BXD32	NAM	F	655	Euthanized	12/11/2021	07/18/2022	09/27/2023	219
21	3679	3679	BXD190	NAM	F	753	Euthanized	08/16/2021	02/18/2022	09/08/2023	186
22	3675	3675	BXD65	NAM	F	753	Euthanized	08/09/2021	01/10/2022	09/01/2023	154
23	4562	4562	BXD15	NAM	F	683	Euthanized	10/18/2021	04/20/2022	09/01/2023	184
24	4589	4589	BXD32	NAM	F	607	Euthanized	01/01/2022	07/07/2022	08/31/2023	187
25	4544	4544	BXD62	NAM	F	686	Euthanized	10/08/2021	04/14/2022	08/25/2023	188
26	3583	3583	BXD77	NAM	F	852	Euthanized	04/23/2021	07/07/2021	08/23/2023	75
